Rank,District,State,Latitude,Longitude,Avg_Annual_Rainfall_mm,Elevation_m,Avg_Slope_Degrees
115,Tirap,Arunachal Pradesh,27.030169,95.4979175,2632.8,567.0,5.64
116,Uttara Kannada,Karnataka,14.7253795,74.6403389,2345.8,559.0,0.3
117,Nagaon,Assam,26.3313646,92.7524763,2615.9,65.0,0.23
118,Champhai,Mizoram,23.5443743,93.3479506,1612.9,1520.0,7.4
119,Budgam,J&K,,,,,
120,Upper Subansiri,Arunachal Pradesh,28.2596054,94.0938106,3836.5,1218.0,21.45
121,South Goa,Goa,15.3376121,73.9937035,3344.7,19.0,0.76
122,Chandel,Manipur,24.1700959,94.0059673,1826.0,1399.0,7.26
123,Kargil,J&K,,,,,
124,Haveri,Karnataka,14.7180268,75.3656423,1094.7,581.0,0.45
125,Anjaw,Arunachal Pradesh,28.1553856,96.8407212,3688.9,4005.0,6.35
126,Lahul & Spiti,Himachal Pradesh,,,,,
127,Dhubri,Assam,26.132275,90.1249962,3372.3,30.0,0.06
128,Nashik,Maharashtra,20.2254559,74.104233,908.5,646.0,0.7
129,Ratnagiri,Maharashtra,17.2826079,73.4569787,2625.6,186.0,1.96
130,South Tripura,Tripura,23.1708278,91.638817,2035.1,42.0,0.61
131,Ahmadnagar,Maharashtra,19.074352,74.7219979,961.0,651.0,0.45
132,Kupwara,J&K,,,,,
133,Kolhapur,Maharashtra,16.4626695,74.0894749,1784.8,673.0,7.0
134,Satara,Maharashtra,17.6361289,74.2982781,975.1,848.0,1.33
135,Dibang Valley,Arunachal Pradesh,28.8291044,95.9554096,4242.4,1444.0,2.25
136,Leh-Ladakh,J&K,,,,,
137,Karimganj,Assam,24.5828196,92.3725487,2596.0,75.0,0.6
138,Alappuzha,Kerala,9.5003416,76.4123364,3349.8,1.0,0.06
139,Mumbai Suburban,Maharashtra,19.1309844,72.8894618,1962.9,22.0,0.59
140,Mumbai,Maharashtra,18.9327713,72.8370823,2240.4,14.0,0.41
141,Thoubal,Manipur,24.6203931,94.0104782,1334.2,779.0,0.06
142,Imphal East,Manipur,24.8326698,94.0168859,1421.9,787.0,0.81
143,Bishnupur,Manipur,24.5263926,93.800487,1459.5,768.0,0.0
144,Zunheboto,Nagaland,26.0123803,94.5123719,2235.5,1566.0,10.58
145,Wokha,Nagaland,26.242251,94.1921153,2037.5,299.0,2.53
146,Haridwar,Uttaranchal,29.9123514,78.0087178,1000.6,265.0,0.15
147,Udham Singh Nagar,Uttaranchal,29.0478314,79.4326164,1311.2,232.0,0.33
